id,frag1,frag2,new_smiles
8840,*[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,*C(=O)CO,C[C@H]1C=CC2=CCC[C@H](C(=O)CO)[C@@H]2[C@H]1CC[C@@H](O)C[C@@H](O)CC(=O)O
8841,*c1cnc2cccc(C(N)=O)c2n1,*N1CCN(c2ncnc3c2[C@H](C)SC3)CC1,C[C@@H]1SCc2ncnc(N3CCN(c4cnc5cccc(C(N)=O)c5n4)CC3)c21
8842,*N1CC(C)(C)N(Cc2ccccc2)c2ccccc21,*S(=O)(=O)c1cccc(COC)c1,COCc1cccc(S(=O)(=O)N2CC(C)(C)N(Cc3ccccc3)c3ccccc32)c1
8843,*c1ccc(S(N)(=O)=O)cc1,*C1C[C@@H](O)C[C@H](O)C1,NS(=O)(=O)c1ccc(C2C[C@@H](O)C[C@H](O)C2)cc1
8844,*c1ccc2sc(C)nc2c1,*CC[C@@H](Cc1ccccc1)NC(=O)[C@H](O)[C@H](C)N,Cc1nc2cc(CC[C@@H](Cc3ccccc3)NC(=O)[C@H](O)[C@H](C)N)ccc2s1
8845,*CCOCCOCCOCCOCCOCCOCC,*OCCO[N+](=O)[O-],CCOCCOCCOCCOCCOCCOCCOCCO[N+](=O)[O-]
8846,*N1CCC[C@H]1C,*N1CCN(C(C)=O)CC1,CC(=O)N1CCN(N2CCC[C@H]2C)CC1
8847,*c1nc2cc(NC(=O)c3cc(Cl)nc(CC)c3)ccn2n1,*c1cc(C[N@@H+]2CCC[C@@H](C)C2)ns1,CCc1cc(C(=O)Nc2ccn3nc(-c4cc(C[N@@H+]5CCC[C@@H](C)C5)ns4)nc3c2)cc(Cl)n1
8848,*c1cc(=O)c2c(O)cc(O)c([C@H]3CCN(C)C[C@H]3O)c2o1,*n1cnc(C)c1,Cc1cn(-c2cc(=O)c3c(O)cc(O)c([C@H]4CCN(C)C[C@H]4O)c3o2)cn1
8849,*NCCc1ccccc1,*N[C@H](CC=O)c1ccccc1,O=CC[C@@H](NNCCc1ccccc1)c1ccccc1
