id,frag1,frag2,new_smiles
116,*CCCCCO,*c1ccc(CNCCc2cnc[nH]2)cc1Cl,OCCCCCc1ccc(CNCCc2cnc[nH]2)cc1Cl
117,*c1ncccn1,*c1ccc(CNCCCO)cc1Cl,OCCCNCc1ccc(-c2ncccn2)c(Cl)c1
118,*C(=O)CC(=O)OC,*C(c1ccc(N2CCN(C(C)C)CC2)cc1)c1cccc(O)c1,COC(=O)CC(=O)C(c1ccc(N2CCN(C(C)C)CC2)cc1)c1cccc(O)c1
119,*NCc1ccc(C(=O)O)cc1,*c1ccc(CCN)cc1,NCCc1ccc(NCc2ccc(C(=O)O)cc2)cc1
120,*c1nc(C(=O)OCC)cs1,*CCC(N)=O,CCOC(=O)c1csc(CCC(N)=O)n1
121,*c1nccc(NC)n1,*n1ccnc1,CNc1ccnc(-n2ccnc2)n1
122,*c1ccc(CCCC)cc1,*c1c(C)nnn1C,CCCCc1ccc(-c2c(C)nnn2C)cc1
123,*C(=O)c1ccc2c(c1)N(C1CCCC1)[C@H](C)C(=O)N2C,*N1CCOC[C@@H]1C,C[C@H]1COCCN1C(=O)c1ccc2c(c1)N(C1CCCC1)[C@H](C)C(=O)N2C
124,*Nc1ccc(C)cc1C,*C(=O)c1ccc(-c2ccoc2)cc1,Cc1ccc(NC(=O)c2ccc(-c3ccoc3)cc2)c(C)c1
125,*c1ccc(-c2nc3ccncc3c(O)c2C#N)cc1,*C(=O)[C@@H](N)[C@@H](C)CC,CC[C@H](C)[C@H](N)C(=O)c1ccc(-c2nc3ccncc3c(O)c2C#N)cc1
126,*c1ccc2c(c1)N(C1CC1)C(C)(C)C(=O)N2C,*NO,CN1C(=O)C(C)(C)N(C2CC2)c2cc(NO)ccc21
127,*N(c1ccc([C@H](C)OC)cc1)[C@@H](C(=O)Nc1ccc(OC)cc1C)c1cccnc1,*S(=O)(=O)CC,CCS(=O)(=O)N(c1ccc([C@H](C)OC)cc1)[C@@H](C(=O)Nc1ccc(OC)cc1C)c1cccnc1
128,*Cc1ccc(Cl)c(Cl)c1,*S(=O)(=O)c1ccccc1Cl,O=S(=O)(Cc1ccc(Cl)c(Cl)c1)c1ccccc1Cl
129,*c1cn[nH]c1,*N[C@H](C)c1cc(C)[nH]n1,Cc1cc([C@@H](C)Nc2cn[nH]c2)n[nH]1
130,*c1ccc(-c2nc3cnccc3c(C(=O)[O-])c2C)cc1,*C(=O)c1ccc([SH](=O)=O)cc1,Cc1c(-c2ccc(C(=O)c3ccc([SH](=O)=O)cc3)cc2)nc2cnccc2c1C(=O)[O-]
131,*CCOCCO,*c1ncnc2[nH]ccc12,OCCOCCc1ncnc2[nH]ccc12
132,*CCCN1CCOCC1,*C(=O)[C@@H](NC(=O)c1nn(Cc2ccc(F)cc2)c2ccccc12)C(C)(C)C,CC(C)(C)[C@H](NC(=O)c1nn(Cc2ccc(F)cc2)c2ccccc12)C(=O)CCCN1CCOCC1
133,*c1ccc2c(c1)[C@H](c1ccccc1)N(C)C2=O,*Nc1cncs1,CN1C(=O)c2ccc(Nc3cncs3)cc2[C@@H]1c1ccccc1
134,*c1ccc(C(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccncc2)c(F)c1,*N1CCCC1=O,O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(N2CCCC2=O)cc1F
135,*NCc1cccs1,*N1CC2(CCN(C(=O)OC)CC2)C1,COC(=O)N1CCC2(CC1)CN(NCc1cccs1)C2
136,*[C@H]1CCN(CCN)C1,*CCCC(C)=CCC1=C(C)C(=O)C(OC)=C(OC)C1=O,COC1=C(OC)C(=O)C(CC=C(C)CCC[C@H]2CCN(CCN)C2)=C(C)C1=O
137,*C1C=C1,*NC[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,C1=CC1NC[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
138,*N=Cc1c(C)nn(-c2ccccc2)c1C,*C(=O)CCCCCCCCCO,Cc1nn(-c2ccccc2)c(C)c1C=NC(=O)CCCCCCCCCO
139,*C1NC(=O)C(C)=C1C=C,*C(=O)[C@@H](NC(=O)C1CCCCC1)C(C)C,C=CC1=C(C)C(=O)NC1C(=O)[C@@H](NC(=O)C1CCCCC1)C(C)C
140,*N1CCNCC1,*N1CCc2cc(OC)c(OC)cc2C1,COc1cc2c(cc1OC)CN(N1CCNCC1)CC2
141,*CCCC(C)=CCCC(C)=CCS[P@@](=O)(O)OP(=O)(O)O,*CCOCCOC,COCCOCCCCCC(C)=CCCC(C)=CCS[P@@](=O)(O)OP(=O)(O)O
142,*c1ccnc(N)n1,*c1cncc2ccccc12,Nc1nccc(-c2cncc3ccccc23)n1
143,*c1ccc(NC(=O)COc2cccc(OC)c2)cc1,*c1cnc[nH]1,COc1cccc(OCC(=O)Nc2ccc(-c3cnc[nH]3)cc2)c1
144,*C(=O)c1cccc(Cl)c1,*c1ccc(SC)cc1,CSc1ccc(C(=O)c2cccc(Cl)c2)cc1
145,*c1nccs1,*CC(=O)Nc1ccc(-c2nc3ccccc3s2)cc1,O=C(Cc1nccs1)Nc1ccc(-c2nc3ccccc3s2)cc1
146,*N1CCC(N(C)C)CC1,*c1ccc2c(c1)[C@H](Nc1ccc(C#N)cc1)C[C@H](C)N2C(C)=O,CC(=O)N1c2ccc(N3CCC(N(C)C)CC3)cc2[C@H](Nc2ccc(C#N)cc2)C[C@@H]1C
